cityName,country,lat,lng,temp,humidity,cloudiness,winds
ancud,cl,-41.87,-73.83,27.58,81,0,0.94
sioux lookout,ca,50.1,-91.92,61.66,93,90,6.93
rupert,us,42.62,-113.68,74.05,25,1,13.87
zhanaozen,kz,43.35,52.85,78.61,16,0,9.78
bograd,ru,54.22,90.86,69.8,56,0,4.47
nadym,ru,65.53,72.51,61.42,79,88,17.27
chinique,gt,15.08,-91.0,56.11,100,32,2.28
ahipara,nz,-35.17,173.16,57.19,93,76,16.49
coatesville,us,39.98,-75.82,69.01,94,75,4.7
morondava,mg,-20.3,44.28,60.88,100,0,4.07
portland,au,45.52,-122.67,74.75,47,40,9.17
amasya,tr,40.65,35.83,59.0,82,40,2.24
nemuro,jp,43.32,145.57,69.8,77,75,5.82
that phanom,th,16.94,104.73,77.88,88,40,2.24
mount isa,au,-20.73,139.49,73.4,40,40,8.05
kuala terengganu,my,5.33,103.14,78.8,83,75,4.7
erenhot,cn,43.65,111.97,72.76,74,88,15.03
sitka,us,37.17,-99.65,83.72,61,0,12.77
baykit,ru,61.68,96.39,74.02,64,0,4.41
anzhero-sudzhensk,ru,56.08,86.02,69.34,73,64,4.29
lowestoft,gb,52.48,1.75,48.33,87,36,2.24
nara,ml,34.68,135.8,72.95,88,75,4.7
shenjiamen,cn,29.96,122.3,74.29,100,92,3.74
tiarei,pf,-17.53,-149.33,84.2,62,20,3.36
panvel,in,18.99,73.11,77.88,94,90,5.82
boa vista,br,2.82,-60.67,78.8,88,75,4.7
hanyang,cn,32.14,105.51,71.32,98,92,2.62
ust-kuyga,ru,70.0,135.55,74.65,41,0,4.52
tigil,ru,57.8,158.67,69.43,67,0,4.74
basco,ph,40.33,-91.2,70.99,88,1,2.17
bowen,au,-20.01,148.25,75.2,60,40,18.34
magnolia,us,33.27,-93.24,85.51,79,1,3.36
namatanai,pg,-3.66,152.44,82.28,100,64,5.73
port hedland,au,-20.31,118.58,69.8,22,0,19.46
leticia,co,-4.21,-69.94,73.4,94,20,2.24
khandyga,ru,62.65,135.58,66.73,57,88,3.18
kieta,pg,-6.22,155.63,73.57,100,92,2.39
lata,sb,30.78,78.62,67.27,77,0,0.94
gizo,sb,31.8,34.94,75.2,64,40,3.36
berdigestyakh,ru,62.1,126.7,67.72,65,80,3.62
turbat,pk,26.0,63.05,83.29,88,56,6.42
novobirilyussy,ru,56.95,90.69,76.54,58,0,7.99
itoman,jp,26.12,127.67,84.74,79,75,16.11
andra,ru,62.52,65.89,62.59,77,8,12.91
piedecuesta,co,6.99,-73.05,71.6,68,40,3.36
volot,ru,57.93,30.71,54.22,97,92,7.43
beirut,lb,33.9,35.48,77.0,61,20,5.82
buchanan,lr,5.88,-10.05,75.37,100,92,3.74
ikwiriri,tz,-7.96,38.99,67.18,88,0,3.96
ukiah,us,39.15,-123.21,98.6,14,1,8.05
khor,qa,47.88,134.96,56.11,89,56,8.66
meulaboh,id,4.14,96.13,81.04,100,64,2.73
amuntai,id,-2.42,115.25,84.46,80,24,2.84
springbok,za,-29.67,17.88,25.42,73,0,4.41
calvinia,za,-31.47,19.78,32.08,91,68,2.73
bathsheba,bb,13.22,-59.52,84.2,66,20,21.92
grand gaube,mu,-20.01,57.66,71.6,68,75,8.05
fortuna,us,38.18,-1.13,71.6,73,0,4.7
margate,za,-43.03,147.26,50.0,61,40,11.41
bocs,hu,48.05,20.97,48.01,81,0,5.53
emba,kz,34.81,32.42,71.08,88,20,3.36
high level,ca,58.52,-117.13,78.8,50,75,5.82
kaunas,lt,54.9,23.9,51.8,93,90,4.7
mansa,zm,23.43,72.66,77.0,88,75,8.05
diego de almagro,cl,-26.39,-70.05,50.8,96,64,1.61
suzun,ru,53.78,82.32,68.98,87,56,4.29
nykoping,se,58.75,17.01,45.25,81,0,5.82
san miguel,ph,-34.54,-58.72,40.37,44,0,8.05
vesele,ua,47.02,34.92,61.24,79,0,14.7
chicontepec,mx,20.97,-98.17,77.17,87,100,3.74
kirakira,sb,-10.46,161.92,79.51,100,80,17.49
port lincoln,au,-34.72,135.86,56.54,100,44,12.21
oktyabrskiy,ru,55.61,37.97,66.18,63,0,8.95
kiruna,se,67.86,20.23,39.2,100,36,1.12
urazovo,ru,50.09,38.04,70.06,70,92,4.63
beloha,mg,-25.17,45.06,58.63,89,0,8.66
fujin,cn,47.24,132.03,67.54,72,36,8.99
juegang,cn,32.31,121.18,79.24,81,0,13.8
ahraura,in,25.02,83.02,94.54,49,8,6.87
jadu,ly,31.95,12.03,64.21,58,0,5.41
atasu,kz,48.68,71.64,71.59,41,68,4.85
chara,ru,39.42,22.43,69.8,68,75,5.82
mitsamiouli,km,-11.38,43.28,78.43,95,8,11.01
ostrovnoy,ru,68.05,39.51,56.83,67,0,17.49
kichera,ru,55.93,110.1,53.32,100,92,2.17
